"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","test_invalid_login","tests.api","2026-05-18","passed","2026-05-18","","test_auth_api","",""
"","7","test_get_my_appointments_requires_authentication","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","301","test_owner_login","tests.api","2026-05-18","passed","2026-05-18","","test_auth_api","",""
"","544","test_customer_login","tests.api","2026-05-18","passed","2026-05-18","","test_auth_api","",""
"","26","test_book_appointment_with_unknown_service","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","62","test_book_overlapping_appointment_returns_conflict","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","9","test_customer_cannot_view_owner_appointments","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","70","test_owner_can_view_all_appointments","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","109","test_get_my_appointments","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","37","test_book_appointment_in_the_past","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","287","test_customer_signup","tests.api","2026-05-18","passed","2026-05-18","","test_auth_api","",""
"","64","test_book_appointment","tests.api","2026-05-18","passed","2026-05-18","","test_appointments_api","",""
"","24","test_get_services","tests.api","2026-05-18","passed","2026-05-18","","test_services_api","",""
"","9","test_get_current_user_with_jwt_token","tests.api","2026-05-18","passed","2026-05-18","","test_auth_api","",""
